$ kubectl logs -n projet-we -l app=monitoring --tail=200 --timestamps=true

STDOUT:
2026-05-29T16:04:57.164077935Z INFO:     Started server process [1]
2026-05-29T16:04:57.164170747Z INFO:     Waiting for application startup.
2026-05-29T16:04:57.164512290Z INFO:     Application startup complete.
2026-05-29T16:04:57.168812034Z INFO:     Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2026-05-29T16:05:01.864977002Z INFO:     10.244.0.1:48828 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:11.859416313Z INFO:     10.244.0.1:38988 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:12.177234010Z INFO:     10.244.0.1:38996 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:21.856508866Z INFO:     10.244.0.1:39108 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:31.854840381Z INFO:     10.244.0.1:45082 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:32.174626471Z INFO:     10.244.0.1:45088 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:41.853961445Z INFO:     10.244.0.1:34510 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:51.850533263Z INFO:     10.244.0.1:55652 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:05:52.172405879Z INFO:     10.244.0.1:55654 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:01.851776545Z INFO:     10.244.0.1:54534 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:11.851321701Z INFO:     10.244.0.1:60904 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:12.171651483Z INFO:     10.244.0.1:60918 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:21.850364243Z INFO:     10.244.0.1:32864 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:31.849795137Z INFO:     10.244.0.1:43986 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:32.170268625Z INFO:     10.244.0.1:43990 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:41.849219715Z INFO:     10.244.0.1:56508 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:51.846850748Z INFO:     10.244.0.1:57366 - "GET /health HTTP/1.1" 200 OK
2026-05-29T16:06:52.167482098Z INFO:     10.244.0.1:57374 - "GET /health HTTP/1.1" 200 OK
